start,end,start_station_no,start_station,end_station_no,end_station,bike_no,type
2017-10-10 19:55,2017-10-10 20:11,31307,3000 Connecticut Ave NW / National Zoo,31245,7th & R St NW / Shaw Library,W20529,Member
2017-10-10 22:20,2017-10-10 22:33,31245,7th & R St NW / Shaw Library,31121,Calvert St & Woodley Pl NW,W20529,Member
2017-10-11 4:40,2017-10-11 4:59,31121,Calvert St & Woodley Pl NW,31283,14th & L St NW,W20529,Casual
2017-10-11 6:28,2017-10-11 6:40,31283,14th & L St NW,31264,6th St & Indiana Ave NW,W20529,Member
2017-10-11 16:41,2017-10-11 17:01,31514,Hamlin & 7th St NE,31615,6th & H St NE,W20529,Member
2017-10-12 8:08,2017-10-12 8:35,31615,6th & H St NE,31255,24th & N St NW,W20529,Member
2017-10-12 8:47,2017-10-12 8:59,31255,24th & N St NW,31259,20th St & Virginia Ave NW,W20529,Member
2017-10-12 13:13,2017-10-12 13:37,31275,New Hampshire Ave & 24th St NW,31503,Florida Ave & R St NW,W20529,Member
2017-10-12 13:40,2017-10-12 13:48,31503,Florida Ave & R St NW,31101,14th & V St NW,W20529,Member
2017-10-12 13:49,2017-10-12 13:53,31101,14th & V St NW,31201,15th & P St NW,W20529,Member
2017-10-12 14:33,2017-10-12 14:39,31201,15th & P St NW,31101,14th & V St NW,W20529,Member
2017-10-13 15:55,2017-10-13 15:59,31319,Wisconsin Ave & Brandywine St NW,31317,Wisconsin Ave & Ingomar St NW,W20529,Member
2017-10-17 17:58,2017-10-17 18:01,31317,Wisconsin Ave & Ingomar St NW,31309,Fessenden St & Wisconsin Ave NW,W20529,Member
2017-10-19 20:21,2017-10-19 20:29,31317,Wisconsin Ave & Ingomar St NW,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,W20529,Member
2017-10-19 21:11,2017-10-19 21:29,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,31200,Massachusetts Ave & Dupont Circle NW,W20529,Member
2017-10-19 21:30,2017-10-19 21:47,31200,Massachusetts Ave & Dupont Circle NW,31638,1st & H St NW,W20529,Member
2017-10-19 21:47,2017-10-19 21:57,31638,1st & H St NW,31617,Bladensburg Rd & Benning Rd NE,W20529,Member
2017-10-19 21:57,2017-10-19 22:09,31617,Bladensburg Rd & Benning Rd NE,31703,Minnesota Ave Metro/DOES,W20529,Member
2017-10-21 12:24,2017-10-21 12:36,31703,Minnesota Ave Metro/DOES,31617,Bladensburg Rd & Benning Rd NE,W20529,Member
2017-10-21 12:36,2017-10-21 12:42,31617,Bladensburg Rd & Benning Rd NE,31616,3rd & H St NE,W20529,Member
2017-10-21 13:47,2017-10-22 11:09,31616,3rd & H St NE,31607,14th & D St SE,W20529,Member
2017-10-22 13:28,2017-10-22 13:31,31607,14th & D St SE,31626,15th St & Massachusetts Ave SE,W20529,Member
2017-10-22 13:47,2017-10-22 13:56,31626,15th St & Massachusetts Ave SE,31610,Eastern Market / 7th & North Carolina Ave SE,W20529,Member
2017-10-22 14:26,2017-10-22 14:32,31618,4th & East Capitol St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W20529,Member
2017-10-22 14:54,2017-10-22 15:09,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31624,North Capitol St & F St NW,W20529,Member
2017-10-22 16:40,2017-10-22 16:51,31624,North Capitol St & F St NW,31605,3rd & D St SE,W20529,Member
2017-10-22 17:58,2017-10-22 18:28,31605,3rd & D St SE,31101,14th & V St NW,W20529,Casual
2017-10-22 18:45,2017-10-22 18:50,31101,14th & V St NW,31120,10th & Florida Ave NW,W20529,Member
2017-10-22 18:56,2017-10-22 19:11,31120,10th & Florida Ave NW,31603,1st & M St NE,W20529,Member
2017-10-23 10:14,2017-10-23 10:35,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31258,Lincoln Memorial,W20529,Casual
2017-10-23 11:29,2017-10-23 14:38,31258,Lincoln Memorial,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W20529,Casual
2017-10-23 15:04,2017-10-23 15:32,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W20529,Casual
2017-10-23 15:33,2017-10-23 17:06,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31258,Lincoln Memorial,W20529,Casual
2017-10-23 17:13,2017-10-23 19:31,31258,Lincoln Memorial,31258,Lincoln Memorial,W20529,Casual
2017-10-23 19:55,2017-10-23 20:25,31258,Lincoln Memorial,31249,Jefferson Memorial,W20529,Casual
2017-10-23 21:47,2017-10-23 22:18,31249,Jefferson Memorial,31258,Lincoln Memorial,W20529,Casual
2017-10-23 22:34,2017-10-23 22:48,31258,Lincoln Memorial,31218,L'Enfant Plaza / 7th & C St SW,W20529,Casual
2017-10-24 6:55,2017-10-24 7:02,31218,L'Enfant Plaza / 7th & C St SW,31284,18th & C St NW,W20529,Member
2017-10-24 14:56,2017-10-24 15:03,31284,18th & C St NW,31633,Independence Ave & L'Enfant Plaza SW/DOE,W20529,Member
2017-10-24 15:51,2017-10-24 15:59,31633,Independence Ave & L'Enfant Plaza SW/DOE,31623,Columbus Circle / Union Station,W20529,Member
2017-10-24 16:31,2017-10-24 16:55,31623,Columbus Circle / Union Station,31805,Pennsylvania & Minnesota Ave SE,W20529,Casual
2017-10-28 14:26,2017-10-28 14:32,31706,Fairfax Village,31701,Branch & Pennsylvania Ave SE,W20529,Casual
2017-11-01 9:41,2017-11-01 9:52,31701,Branch & Pennsylvania Ave SE,31606,Potomac & Pennsylvania Ave SE,W20529,Member
2017-11-01 20:16,2017-11-01 20:32,31606,Potomac & Pennsylvania Ave SE,31518,New York Ave & Hecht Ave NE,W20529,Member
2017-11-02 19:44,2017-11-02 19:50,31287,10th St & L'Enfant Plaza SW,31238,14th & G St NW,W20529,Member
2017-11-02 20:14,2017-11-02 20:30,31238,14th & G St NW,31627,3rd & M St NE,W20529,Member
2017-11-02 21:35,2017-11-02 21:38,31627,3rd & M St NE,31505,Eckington Pl & Q St NE,W20529,Member
2017-11-03 9:59,2017-11-03 10:11,31505,Eckington Pl & Q St NE,31265,5th St & Massachusetts Ave NW,W20529,Member
2017-11-03 10:13,2017-11-03 10:32,31265,5th St & Massachusetts Ave NW,31260,23rd & E St NW ,W20529,Member
2017-11-03 10:44,2017-11-03 10:50,31260,23rd & E St NW ,31100,19th St & Pennsylvania Ave NW,W20529,Member
2017-11-03 16:06,2017-11-03 16:44,31246,M St & Pennsylvania Ave NW,31247,Jefferson Dr & 14th St SW,W20529,Casual
2017-11-03 16:45,2017-11-03 17:00,31247,Jefferson Dr & 14th St SW,31258,Lincoln Memorial,W20529,Casual
2017-11-03 17:07,2017-11-03 17:35,31258,Lincoln Memorial,31247,Jefferson Dr & 14th St SW,W20529,Member
2017-11-03 17:36,2017-11-03 17:46,31247,Jefferson Dr & 14th St SW,31258,Lincoln Memorial,W20529,Casual
2017-11-03 17:50,2017-11-03 18:00,31258,Lincoln Memorial,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,W20529,Member
2017-11-03 19:22,2017-11-03 19:45,31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31203,14th & Rhode Island Ave NW,W20529,Member
2017-11-04 13:14,2017-11-04 13:26,31203,14th & Rhode Island Ave NW,31503,Florida Ave & R St NW,W20529,Casual
2017-11-04 14:18,2017-11-04 14:30,31503,Florida Ave & R St NW,31200,Massachusetts Ave & Dupont Circle NW,W20529,Member
2017-11-04 14:45,2017-11-04 15:03,31200,Massachusetts Ave & Dupont Circle NW,31226,34th St & Wisconsin Ave NW,W20529,Member
2017-11-04 15:16,2017-11-04 15:44,31226,34th St & Wisconsin Ave NW,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,W20529,Casual
2017-11-04 16:37,2017-11-04 16:58,31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31249,Jefferson Memorial,W20529,Casual
2017-11-04 17:13,2017-11-04 17:34,31249,Jefferson Memorial,31225,C & O Canal & Wisconsin Ave NW,W20529,Member
2017-11-04 18:10,2017-11-04 18:58,31225,C & O Canal & Wisconsin Ave NW,31615,6th & H St NE,W20529,Member
2017-11-05 1:56,2017-11-05 1:01,31615,6th & H St NE,31627,3rd & M St NE,W20529,Member
2017-11-05 8:33,2017-11-05 8:53,31627,3rd & M St NE,31200,Massachusetts Ave & Dupont Circle NW,W20529,Casual
2017-11-05 8:58,2017-11-05 9:03,31200,Massachusetts Ave & Dupont Circle NW,31205,21st & I St NW,W20529,Member
2017-11-05 11:05,2017-11-05 11:30,31205,21st & I St NW,31262,11th & F St NW,W20529,Member
2017-11-06 8:50,2017-11-06 8:59,31522,2nd St & Seaton Pl NE,31637,North Capitol St & G Pl NE,W20529,Member
2017-11-06 9:04,2017-11-06 9:13,31637,North Capitol St & G Pl NE,31217,USDA / 12th & Independence Ave SW,W20529,Member
2017-11-06 16:19,2017-11-06 17:02,31217,USDA / 12th & Independence Ave SW,31288,4th St & Madison Dr NW,W20529,Casual
2017-11-06 17:21,2017-11-06 17:34,31288,4th St & Madison Dr NW,31290,17th St & Independence Ave SW,W20529,Casual
2017-11-06 17:36,2017-11-06 17:57,31290,17th St & Independence Ave SW,31293,31st & Water St NW,W20529,Casual
2017-11-06 17:59,2017-11-06 18:15,31293,31st & Water St NW,31236,37th & O St NW / Georgetown University,W20529,Casual
2017-11-06 18:18,2017-11-06 18:21,31236,37th & O St NW / Georgetown University,31295,Potomac & M St NW,W20529,Member
2017-11-06 19:24,2017-11-06 19:37,31295,Potomac & M St NW,31110,20th St & Florida Ave NW,W20529,Member
2017-11-06 19:49,2017-11-06 20:03,31110,20th St & Florida Ave NW,31281,8th & O St NW,W20529,Casual
2017-11-07 7:50,2017-11-07 8:01,31281,8th & O St NW,31239,Rhode Island & Connecticut Ave NW,W20529,Member
2017-11-08 13:11,2017-11-08 13:18,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,31301,Ward Circle / American University,W20529,Member
2017-11-08 21:34,2017-11-08 21:46,31301,Ward Circle / American University,31305,Connecticut Ave & Newark St NW / Cleveland Park,W20529,Member
2017-11-08 22:02,2017-11-08 22:04,31305,Connecticut Ave & Newark St NW / Cleveland Park,31307,3000 Connecticut Ave NW / National Zoo,W20529,Member
2017-11-09 7:01,2017-11-09 7:12,31307,3000 Connecticut Ave NW / National Zoo,31110,20th St & Florida Ave NW,W20529,Member
2017-11-09 8:02,2017-11-09 8:08,31110,20th St & Florida Ave NW,31255,24th & N St NW,W20529,Member
2017-11-09 8:19,2017-11-09 8:32,31255,24th & N St NW,31104,Adams Mill & Columbia Rd NW,W20529,Member
2017-11-09 8:41,2017-11-09 8:48,31104,Adams Mill & Columbia Rd NW,31234,20th & O St NW / Dupont South,W20529,Member
2017-11-09 9:00,2017-11-09 9:09,31234,20th & O St NW / Dupont South,31202,14th & R St NW,W20529,Member
2017-11-09 9:09,2017-11-09 9:24,31202,14th & R St NW,31624,North Capitol St & F St NW,W20529,Member
2017-11-09 13:14,2017-11-09 13:25,31624,North Capitol St & F St NW,31505,Eckington Pl & Q St NE,W20529,Member
2017-11-09 15:20,2017-11-09 15:31,31505,Eckington Pl & Q St NE,31111,10th & U St NW,W20529,Member
2017-11-09 18:47,2017-11-09 18:53,31111,10th & U St NW,31203,14th & Rhode Island Ave NW,W20529,Member
2017-11-09 23:35,2017-11-09 23:43,31203,14th & Rhode Island Ave NW,31506,1st & Rhode Island Ave NW,W20529,Member
2017-11-10 7:51,2017-11-10 8:02,31506,1st & Rhode Island Ave NW,31216,14th St & New York Ave NW,W20529,Member
2017-11-10 8:38,2017-11-10 8:42,31216,14th St & New York Ave NW,31277,17th & G St NW,W20529,Member
2017-11-11 18:05,2017-11-11 18:13,31277,17th & G St NW,31203,14th & Rhode Island Ave NW,W20529,Member
2017-11-11 19:39,2017-11-11 19:46,31203,14th & Rhode Island Ave NW,31278,18th & R St NW,W20529,Member
2017-11-11 21:13,2017-11-11 21:16,31278,18th & R St NW,31229,New Hampshire Ave & T St NW,W20529,Member
2017-11-12 9:46,2017-11-12 9:51,31229,New Hampshire Ave & T St NW,31213,17th & K St NW,W20529,Member
2017-11-13 13:33,2017-11-13 13:54,31213,17th & K St NW,31624,North Capitol St & F St NW,W20529,Member
2017-11-14 8:40,2017-11-14 8:55,31630,15th & East Capitol St NE,31243,4th & C St SW,W20529,Member
2017-11-15 6:14,2017-11-15 6:30,31614,11th & H St NE,31628,1st & K St SE,W20529,Member
2017-11-15 8:14,2017-11-15 8:23,31628,1st & K St SE,31244,4th & E St SW,W20529,Member
