Date,AAPL,IBM,CSCO,MSFT
2004-12-08,63.28,96.650002,19.799999,27.360001
2004-12-09,63.990003,97.510002,19.4,27.23
2004-12-10,65.150002,96.669998,19.42,27.08
2004-12-13,64.909997,96.449997,19.27,27.25
2004-12-14,65.289999,97.309998,19.280001,27.23
2004-12-15,65.259998,97.330002,19.4,27.110001
2004-12-16,66.600002,97.449997,19.4,27.16
2004-12-17,64.989999,96.199997,18.99,26.959999
2004-12-20,62.72,96.550003,19.049999,26.950001
2004-12-21,63.690002,97.019997,19.360001,27.07
2004-12-22,63.749997,97.610001,19.32,26.969999
2004-12-23,64.010003,97.720001,19.450001,27.01
2004-12-27,63.159997,97.5,19.299999,26.85
2004-12-28,64.18,98.300003,19.26,26.950001
2004-12-29,64.44,98.18,19.309999,26.9
2004-12-30,64.800001,98.300003,19.42,26.76
2004-12-31,64.399999,98.580002,19.32,26.719999
2005-01-03,63.29,97.75,19.32,26.74
2005-01-04,63.940001,96.699997,18.559999,26.84
2005-01-05,64.500001,96.5,18.57,26.780001
2005-01-06,64.550002,96.199997,18.85,26.75
2005-01-07,69.250003,95.779999,18.719999,26.67
2005-01-10,68.960003,95.68,18.719999,26.799999
2005-01-11,64.560002,95,18.639999,26.73
2005-01-12,65.460003,95.209999,18.93,26.780001
2005-01-13,69.800002,94.449997,18.780001,26.27
2005-01-14,70.199998,94.099998,18.879999,26.120001
2005-01-18,70.650002,94.900002,18.74,26.32
2005-01-19,69.879997,93.099998,18.15,25.98
2005-01-20,70.459997,93,18.32,25.860001
2005-01-21,70.489998,92.379997,18.01,25.65
2005-01-24,70.759997,91.790001,17.75,25.67
2005-01-25,72.05,92.190002,17.51,26.02
2005-01-26,72.249998,91.949997,17.690001,26.01
2005-01-27,72.64,91.980003,18.18,26.110001
2005-01-28,73.979998,92.889999,17.9,26.18
2005-01-31,76.899998,93.419998,18.040001,26.280001
2005-02-01,77.529999,93.860001,18.129999,26.389999
2005-02-02,79.63,94.300003,18.15,26.459999
2005-02-03,77.809999,93.540001,17.52,26.18
2005-02-04,78.840002,94.510002,17.9,26.32
2005-02-07,78.939998,94.529999,18.16,26.16
2005-02-08,80.900002,94.129997,18.24,26.24
2005-02-09,78.74,92.699997,17.629999,26.07
2005-02-10,78.359998,92.760002,17.58,26.059999
2005-02-11,81.210003,93.300003,17.700001,25.969999
2005-02-14,84.630001,93.57,17.969999,26.01
2005-02-15,88.410001,94.330002,17.92,25.93
2005-02-16,90.13,94.620003,17.709999,25.790001
2005-02-17,87.81,93.75,17.450001,25.65
2005-02-18,86.809998,93.269997,17.299999,25.48
2005-02-22,85.290003,92.32,17.309999,25.23
2005-02-23,88.229997,92.099998,17.280001,25.200001
2005-02-24,88.929999,92.639999,17.18,25.370001
2005-02-25,88.990001,92.800003,17.200001,25.25
2005-02-28,44.859999,92.580002,17.42,25.16
2005-03-01,44.5,93.300003,17.5,25.280001
2005-03-02,44.119998,92.919998,17.74,25.26
2005-03-03,41.789999,92.410004,17.799999,25.17
2005-03-04,42.809999,92.370003,18.040001,25.17
2005-03-07,42.75,91.599998,18.24,25.469999
2005-03-08,40.53,92.129997,18.120001,25.4
2005-03-09,39.349999,92.349998,18.530001,25.309999
2005-03-10,39.83,92.410004,18.709999,25.43
2005-03-11,40.27,91.510002,18.450001,25.09
2005-03-14,40.320002,91.900002,18.540001,25.110001
2005-03-15,40.96,91.379997,18.25,24.91
2005-03-16,41.180001,90.650002,18.07,24.629999
2005-03-17,42.249999,89.860001,18.030001,24.540001
2005-03-18,42.959999,89.279999,17.799999,24.309999
2005-03-21,43.699999,89.510002,17.940001,24.200001
2005-03-22,42.829999,89.5,17.92,23.99
2005-03-23,42.549999,90.519997,17.75,24.18
2005-03-24,42.500001,90.699997,17.879999,24.280001
2005-03-28,42.529999,91.040001,17.889999,24.200001
2005-03-29,41.750001,90.599998,17.75,23.92
2005-03-30,42.800002,90.68,18.030001,24.16
2005-03-31,41.669999,91.379997,17.889999,24.17
2005-04-01,40.890001,90.440002,17.700001,24.120001
2005-04-04,41.089999,90.32,17.67,24.23
2005-04-05,41.890001,89.57,17.82,24.469999
2005-04-06,42.330001,89,17.77,24.67
2005-04-07,43.559999,88.440002,18.15,25.1
2005-04-08,43.74,87.599998,17.9,24.940001
2005-04-11,41.920002,86.199997,17.99,24.969999
2005-04-12,42.659998,85.75,18.24,25.32
2005-04-13,41.040001,84.57,18,25.040001
2005-04-14,37.260002,83.639999,17.809999,24.84
2005-04-15,35.350001,76.699997,17.200001,24.459999
2005-04-18,35.620001,76.650002,17.02,24.65
2005-04-19,37.090001,75.480003,17.18,24.629999
2005-04-20,35.510002,72.010002,17.190001,24.32
2005-04-21,37.18,74.029999,17.68,25.280001
2005-04-22,35.500001,74.209999,17.43,24.98
2005-04-25,36.979999,74.610001,17.48,24.99
2005-04-26,36.190001,75.43,17.280001,24.76
2005-04-27,35.949998,77.050003,17.25,24.99
2005-04-28,35.539999,75.910004,17.139999,24.450001
2005-04-29,36.060001,76.379997,17.27,25.299999
2005-05-02,36.429999,76.510002,17.26,25.23
2005-05-03,36.210001,76.470001,17.309999,25.360001
2005-05-04,37.149999,77.080002,17.65,25.209999
2005-05-05,36.679998,75.5,18,25.23
2005-05-06,37.240001,75.260002,18.02,25.219999
2005-05-09,36.969998,74.980003,18.209999,25.110001
2005-05-10,36.419999,73.300003,18.209999,24.9
2005-05-11,35.610001,73.279999,18.549999,24.91
2005-05-12,34.13,72.620003,18.700001,25
2005-05-13,34.770001,73.160004,18.889999,25.299999
2005-05-16,35.549999,74.339996,19.09,25.49
2005-05-17,35.360002,74.290001,19.059999,25.459999
2005-05-18,35.839999,76.360001,19.24,25.700001
2005-05-19,37.550002,77.160004,19.379999,25.92
2005-05-20,37.550002,76.410004,19.469999,25.74
2005-05-23,39.759999,76.510002,19.549999,25.85
2005-05-24,39.700001,75.809998,20,25.75
2005-05-25,39.779999,76,19.620001,25.709999
2005-05-26,40.740001,77.139999,19.9,25.9
2005-05-27,40.56,77.099998,19.790001,26.07
2005-05-31,39.759999,75.550003,19.4,25.799999
2005-06-01,40.300001,76.839996,19.639999,25.809999
2005-06-02,40.039999,77.349998,19.879999,25.790001
2005-06-03,38.240001,75.790001,19.4,25.43
2005-06-06,37.92,75,19.379999,25.370001
2005-06-07,36.539999,75.040001,19.41,25.51
2005-06-08,36.920001,74.800003,19.41,25.4
2005-06-09,37.650001,74.93,19.469999,25.51
2005-06-10,35.809999,74.769997,19.24,25.43
2005-06-13,35.900001,75.050003,19.299999,25.309999
2005-06-14,36,74.889999,19.18,25.360001
2005-06-15,37.129999,76.300003,19.32,25.26
2005-06-16,37.980001,77.050003,19.530001,25.040001
2005-06-17,38.309999,76.389999,19.530001,25.040001
2005-06-20,37.61,76.550003,19.6,25.110001
2005-06-21,37.859999,76.410004,19.77,25.15
2005-06-22,38.550001,77.230003,19.799999,25.07
2005-06-23,38.889999,75.410004,19.780001,25.309999
2005-06-24,37.76,74.010002,19.299999,25.040001
2005-06-27,37.100001,73.879997,19.030001,25.049999
2005-06-28,37.309999,75.300003,19.16,25.07
2005-06-29,36.370001,74.730003,19.360001,25.09
2005-06-30,36.810001,74.199997,19.08,24.84
2005-07-01,36.500001,74.669998,18.99,24.709999
2005-07-05,37.980001,74.790001,18.82,24.98
2005-07-06,37.390001,75.809998,18.82,24.700001
2005-07-07,37.63,77.379997,18.84,24.65
2005-07-08,38.250001,79.300003,19.309999,25.09
2005-07-11,38.100001,78.959999,19.540001,25.290001
2005-07-12,38.240001,80.040001,19.780001,25.610001
2005-07-13,38.35,81.449997,19.969999,25.66
2005-07-14,40.750001,82.419998,19.940001,25.969999
2005-07-15,41.55,82.379997,19.889999,25.790001
2005-07-18,41.489998,81.809998,19.65,25.549999
2005-07-19,43.190001,83.699997,20.17,26.16
2005-07-20,43.630001,84.599998,20.120001,26.190001
2005-07-21,43.289999,84.400002,19.559999,26.440001
2005-07-22,43.999999,84.440002,19.32,25.68
2005-07-25,43.810001,84.199997,18.85,25.690001
2005-07-26,43.630001,84.120003,19.059999,25.540001
2005-07-27,43.989999,83.870003,19.18,25.719999
2005-07-28,43.800001,83.800003,19.299999,25.75
2005-07-29,42.650002,83.459999,19.15,25.610001
2005-08-01,42.75,83.43,19.26,25.92
2005-08-02,43.190001,83.309998,19.49,26.809999
2005-08-03,43.220001,84.059998,19.540001,27.25
2005-08-04,42.71,83.120003,19.43,27.32
2005-08-05,42.989999,83.360001,19.299999,27.76
2005-08-08,42.650002,83.360001,19.25,27.129999
2005-08-09,43.820002,83.5,19.610001,27.35
2005-08-10,43.380002,82.019997,18.25,26.950001
2005-08-11,43.999999,82.660004,18.059999,27.27
2005-08-12,46.1,82.190002,17.799999,27.049999
2005-08-15,47.68,82.5,17.709999,27.129999
2005-08-16,46.25,81.300003,17.629999,26.74
2005-08-17,47.150001,81.300003,17.84,26.950001
2005-08-18,46.300002,81.150002,17.66,26.82
2005-08-19,45.830001,82.760002,17.82,26.719999
2005-08-22,45.869998,82.599998,17.690001,26.91
2005-08-23,45.739999,82.029999,17.76,26.870001
2005-08-24,45.77,81.32,17.52,26.809999
2005-08-25,46.059999,81.099998,17.48,27.030001
2005-08-26,45.739999,80.379997,17.4,26.969999
2005-08-29,45.840001,81.339996,17.639999,27.15
2005-08-30,46.570001,80.540001,17.51,27.18
2005-08-31,46.889998,80.620003,17.620001,27.379999
2005-09-01,46.260001,79.540001,17.65,27.200001
2005-09-02,46.22,79.459999,17.719999,27.02
2005-09-06,48.799999,81.019997,18.200001,27
2005-09-07,48.679999,80.980003,18.4,26.85
2005-09-08,49.780001,80.800003,18.370001,26.610001
2005-09-09,51.309999,81.440002,18.58,26.58
2005-09-12,51.400002,81.480003,18.48,26.610001
2005-09-13,50.820002,80.75,18.25,26.48
2005-09-14,49.610001,80.480003,17.84,26.309999
2005-09-15,49.87,80.010002,18.030001,26.27
2005-09-16,51.210001,80.330002,18.42,26.07
2005-09-19,52.64,79.43,18.17,26
2005-09-20,53.189999,78.699997,17.969999,25.84
2005-09-21,52.110001,77.559998,17.85,25.49
2005-09-22,51.9,78.209999,18.110001,25.34
2005-09-23,53.199999,78,18.049999,25.27
2005-09-26,53.840001,77.410004,17.92,25.27
2005-09-27,53.440001,77.989998,17.719999,25.34
2005-09-28,51.080001,79.5,17.92,25.67
2005-09-29,52.34,80.360001,17.860001,25.940001
2005-09-30,53.609999,80.220001,17.92,25.73
2005-10-03,54.440001,80.449997,17.74,25.5
2005-10-04,53.749999,80.110001,17.67,24.98
2005-10-05,52.78,79.82,17.5,24.67
2005-10-06,51.699998,79.699997,17.73,24.73
2005-10-07,51.299999,80.5,17.629999,24.59
2005-10-10,50.370001,81.25,17.49,24.459999
2005-10-11,51.589999,83.190002,17.190001,24.41
2005-10-12,49.249999,82.190002,17.43,24.299999
2005-10-13,53.739998,82.199997,17.299999,24.59
2005-10-14,54.000001,82.349998,17.27,24.67
2005-10-17,53.440001,82.589996,17.17,24.530001
2005-10-18,52.21,83.480003,16.98,24.57
2005-10-19,54.939999,84.169998,17.200001,25.09
2005-10-20,56.140003,83.169998,16.93,24.790001
2005-10-21,55.659999,83.330002,17.030001,24.780001
2005-10-24,56.789998,83.470001,17.16,25.1
2005-10-25,56.100002,83.360001,17.120001,25.030001
2005-10-26,57.029997,82.889999,17.1,25.110001
2005-10-27,55.41,82.309998,17.049999,24.85
2005-10-28,54.469998,81.419998,17.139999,25.530001
